time,open,high,low,close,vwap,volume,count
2025-06-16 06:45:00,316.83,316.83,314.95,315.16,315.28,44.21809191,33
2025-06-16 07:00:00,315.23,315.71,315.23,315.71,315.62,7.20372617,11
2025-06-16 07:15:00,316.26,317.41,314.43,317.41,315.17,143.45702107,51
2025-06-16 07:30:00,317.80,318.49,317.73,317.98,318.15,25.74328438,29
2025-06-16 07:45:00,318.39,318.42,317.50,317.50,318.29,5.27687000,8
2025-06-16 08:00:00,316.87,317.27,316.72,317.09,316.92,7.74245328,18
2025-06-16 08:15:00,316.95,316.95,315.79,315.79,316.28,7.04633015,10
2025-06-16 08:30:00,315.78,315.78,314.05,314.19,314.87,15.03967023,37
2025-06-16 08:45:00,314.25,314.82,314.05,314.82,314.40,4.99970554,17
2025-06-16 09:00:00,314.84,316.02,314.73,316.01,315.33,88.12480890,48
2025-06-16 09:15:00,315.91,316.69,315.88,316.57,316.27,25.38538269,55
2025-06-16 09:30:00,316.70,317.01,315.82,316.99,316.56,9.84415286,20
2025-06-16 09:45:00,316.88,321.95,316.14,321.81,319.79,180.43061065,355
2025-06-16 10:00:00,321.80,322.48,320.32,321.64,321.65,171.26612749,157
2025-06-16 10:15:00,321.71,321.71,320.07,320.61,320.90,36.93659802,49
2025-06-16 10:30:00,320.23,321.23,320.23,321.18,320.89,26.62797585,32
2025-06-16 10:45:00,321.53,321.53,320.15,320.27,320.70,20.70929426,38
2025-06-16 11:00:00,320.21,320.21,318.47,319.07,319.70,11.31851670,23
2025-06-16 11:15:00,319.16,319.66,317.51,318.18,318.73,35.79135679,68
2025-06-16 11:30:00,318.59,319.82,318.59,319.69,319.47,5.02960714,15
2025-06-16 11:45:00,319.65,319.65,318.50,319.50,319.10,87.37707775,31
2025-06-16 12:00:00,319.39,319.95,317.12,317.46,317.65,84.48243321,84
2025-06-16 12:15:00,317.18,317.18,315.90,315.90,316.51,31.42527238,22
2025-06-16 12:30:00,315.85,318.04,315.62,318.04,316.69,36.02082661,29
2025-06-16 12:45:00,318.56,319.30,318.56,318.81,318.90,13.61679589,26
2025-06-16 13:00:00,318.84,318.84,316.96,317.30,318.09,161.02476425,136
2025-06-16 13:15:00,317.79,319.22,317.79,319.22,318.76,8.25562235,19
2025-06-16 13:30:00,318.97,320.98,318.93,320.98,319.66,67.49374442,95
2025-06-16 13:45:00,320.98,321.32,319.87,321.32,320.47,133.19075035,111
2025-06-16 14:00:00,321.33,321.99,320.80,321.99,321.48,161.28290165,174
2025-06-16 14:15:00,321.91,322.27,321.36,321.57,321.96,26.88225862,35
2025-06-16 14:30:00,322.03,322.72,321.86,321.98,322.40,46.69217411,53
2025-06-16 14:45:00,321.92,322.39,321.03,321.03,321.83,48.25750332,48
2025-06-16 15:00:00,321.27,321.81,319.57,319.57,321.01,63.77135951,89
2025-06-16 15:15:00,320.08,320.50,318.72,318.87,319.35,42.32440923,68
2025-06-16 15:30:00,319.60,319.83,318.52,318.52,318.97,22.47569306,42
2025-06-16 15:45:00,319.00,319.84,319.00,319.59,319.66,29.81299320,47
