time,close,signal,next_close,position,strategy_return,cumulative_return,buy_and_hold,raw_return,strategy_return_capped,position_change,fee,strategy_return_net,cumulative_return_net
2024-01-22,150.88,0,150.34,0,0.0035790031813361088,1.6920933670541272,1.1261382295865054,-0.0035790031813361088,-0.0035790031813361088,False,0.0,0.0035790031813361088,1.6853565006558853
2024-01-23,150.34,0,152.71,0,-0.015764267659970764,1.6654187543102248,1.1221077772801913,0.015764267659970764,0.015764267659970764,False,0.0,-0.015764267659970764,1.6587880896770741
2024-01-24,152.71,0,157.37,0,-0.030515355903346187,1.614597908294341,1.139796984624571,0.030515355903346187,0.030515355903346187,False,0.0,-0.030515355903346187,1.6081695807523464
2024-01-25,157.37,0,159.15,0,-0.011310923301772899,1.5963353151904207,1.1745782952679507,0.011310923301772899,0.011310923301772899,False,0.0,-0.011310923301772899,1.5899796979682124
2024-01-26,159.15,0,160.61,0,-0.00917373546968274,1.5816909572879512,1.1878638602776534,0.00917373546968274,0.00917373546968274,False,0.0,-0.00917373546968274,1.575393644816886
2024-01-27,160.61,0,160.89,0,-0.0017433534649148414,1.5789335108771387,1.198761009105837,0.0017433534649148414,0.0017433534649148414,False,0.0,-0.0017433534649148414,1.5726471768475896
2024-01-28,160.89,0,168.02,0,-0.04431599229287106,1.5089615055781516,1.2008508732646663,0.04431599229287106,0.04431599229287106,False,0.0,-0.04431599229287106,1.5029537566790063
2024-01-29,168.02,0,160.19,0,0.04660159504820862,1.5792815186044398,1.2540677713091508,-0.04660159504820862,-0.03,False,0.0,0.04660159504820862,1.5729937990239453
2024-01-30,160.19,0,163.39,0,-0.019976278169673442,1.5477333516805734,1.1956262128675923,0.019976278169673442,0.019976278169673442,False,0.0,-0.019976278169673442,1.5415712373354717
2024-01-31,163.39,0,166.5,0,-0.019034212620111474,1.5182734659854475,1.2195103746827884,0.019034212620111474,0.019034212620111474,False,0.0,-0.019034212620111474,1.51222864263498
2024-02-01,166.5,0,168.74,0,-0.013453453453453508,1.497847444581199,1.2427227944469326,0.013453453453453508,0.013453453453453508,False,0.0,-0.013453453453453508,1.4918839449803112
2024-02-02,168.74,0,165.36,0,0.020030816640986104,1.5278505520997745,1.25944170771757,-0.020030816640986104,-0.020030816640986104,False,0.0,0.020030816640986104,1.5217675987318429
2024-02-03,165.36,0,165.82,0,-0.0027818093855828466,1.5236003630941755,1.2342140618002688,0.0027818093855828466,0.0027818093855828466,False,0.0,-0.0027818093855828466,1.5175343313430147
2024-02-04,165.82,0,165.32,0,0.003015317814497648,1.5281945024111883,1.2376474100612032,-0.003015317814497648,-0.003015317814497648,False,0.0,0.003015317814497648,1.5221101796464251
2024-02-05,165.32,0,105.15,0,0.3639608032905879,2.0843974010930246,1.2339155097775787,-0.3639608032905879,-0.03,False,0.0,0.3639608032905879,2.076098623327319
2024-02-06,105.15,1,131.25,1,0.24821683309557768,2.6017799229049876,0.784818629646216,0.24821683309557768,0.05,True,0.001,0.24721683309557768,2.5893451501803875
2024-02-07,131.25,0,128.82,1,-0.018514285714285768,2.5536098260466322,0.9796238244514107,-0.018514285714285768,-0.018514285714285768,False,0.0,-0.018514285714285768,2.5414052742570474
2024-02-08,128.82,0,121.88,1,-0.05387362210836825,2.41603761526598,0.961486789072996,-0.05387362210836825,-0.03,False,0.0,-0.05387362210836825,2.4044905668875094
2024-02-09,121.88,0,119.31,1,-0.021086314407613993,2.3650922864898596,0.909688013136289,-0.021086314407613993,-0.021086314407613993,False,0.0,-0.021086314407613993,2.3537887228039773
2024-02-10,119.31,0,120.69,1,0.011566507417651457,2.3924481439649745,0.8905060456784596,0.011566507417651457,0.011566507417651457,False,0.0,0.011566507417651457,2.381013837525874
2024-02-11,120.69,0,126.49,1,0.048057005551412686,2.5074220377009664,0.9008060904612629,0.048057005551412686,0.048057005551412686,False,0.0,0.048057005551412686,2.495438232733845
2024-02-12,126.49,0,127.82,1,0.01051466519092417,2.533786740919737,0.9440961337513062,0.01051466519092417,0.01051466519092417,False,0.0,0.01051466519092417,2.521676930255673
2024-02-13,127.82,0,128.24,1,0.0032858707557503987,2.542112436673033,0.9540229885057472,0.0032858707557503987,0.0032858707557503987,False,0.0,0.0032858707557503987,2.5299628347362506
2024-02-14,128.24,0,125.83,1,-0.018792888334373134,2.4943388015172157,0.9571577847439918,-0.018792888334373134,-0.018792888334373134,False,0.0,-0.018792888334373134,2.4824175256929384
2024-02-15,125.83,0,122.7,1,-0.024874831121354173,2.432292545070034,0.939170025376922,-0.024874831121354173,-0.024874831121354173,False,0.0,-0.024874831121354173,2.420667808968637
2024-02-16,122.7,0,121.21,1,-0.01214343928280366,2.40275614823096,0.9158083296014331,-0.01214343928280366,-0.01214343928280366,False,0.0,-0.01214343928280366,2.391272576406589
2024-02-17,121.21,0,122.26,1,0.008662651596403032,2.4235703876142,0.9046872667562323,0.008662651596403032,0.008662651596403032,False,0.0,0.008662651596403032,2.411987337608032
2024-02-18,122.26,0,113.06,1,-0.07524946834614757,2.241198004446765,0.9125242573518436,-0.07524946834614757,-0.03,False,0.0,-0.07524946834614757,2.230486572795388
2024-02-19,113.06,0,123.66,1,0.09375552803820975,2.4513227067918537,0.8438572921331543,0.09375552803820975,0.05,False,0.0,0.09375552803820975,2.4396070192099564
2024-02-20,123.66,0,123.0,1,-0.005337214944201816,2.438239470608103,0.922973578145992,-0.005337214944201816,-0.005337214944201816,False,0.0,-0.005337214944201816,2.426586312169049
2024-02-21,123.0,0,123.96,1,0.007804878048780437,2.4572696323299223,0.9180474697716078,0.007804878048780437,0.007804878048780437,False,0.0,0.007804878048780437,2.4455255224103687
2024-02-22,123.96,0,123.76,1,-0.001613423685059605,2.4533050153045437,0.9252127183161666,-0.001613423685059605,-0.001613423685059605,False,0.0,-0.001613423685059605,2.441579853610094
2024-02-23,123.76,0,123.9,1,0.001131221719457018,2.456080247222309,0.9237199582027169,0.001131221719457018,0.001131221719457018,False,0.0,0.001131221719457018,2.4443418217702866
2024-02-24,123.9,0,128.79,1,0.03946731234866817,2.553015133492826,0.9247648902821318,0.03946731234866817,0.03946731234866817,False,0.0,0.03946731234866817,2.5408134239370073
2024-02-25,128.79,0,133.02,1,0.03284416491963676,2.6368667835795927,0.9612628750559785,0.03284416491963676,0.03284416491963676,False,0.0,0.03284416491963676,2.624264319062821
2024-02-26,133.02,0,137.01,1,0.029995489400090065,2.715960893235904,0.9928347514554413,0.029995489400090065,0.029995489400090065,False,0.0,0.029995489400090065,2.7029804116283045
2024-02-27,137.01,0,134.47,1,-0.018538792788847472,2.66561025701359,1.022615315718764,-0.018538792788847472,-0.018538792788847472,False,0.0,-0.018538792788847472,2.6528704178648135
2024-02-28,134.47,0,138.06,1,0.026697404625567068,2.7367751326191434,1.003657262277952,0.026697404625567068,0.026697404625567068,False,0.0,0.026697404625567068,2.7236951728297476
2024-02-29,138.06,0,144.24,1,0.04476314645806176,2.8592817987033556,1.0304523063143753,0.04476314645806176,0.04476314645806176,False,0.0,0.04476314645806176,2.8456163387582416
2024-03-01,144.24,0,146.51,1,0.015737659456461325,2.904280201941407,1.0765785938199732,0.015737659456461325,0.015737659456461325,False,0.0,0.015737659456461325,2.890399679641361
2024-03-02,146.51,0,151.06,1,0.031055900621118092,2.9944752392687803,1.093521421107628,0.031055900621118092,0.031055900621118092,False,0.0,0.031055900621118092,2.980163644847615
2024-03-03,151.06,0,150.0,1,-0.007017079306235948,2.9734627690342714,1.1274817136886104,-0.007017079306235948,-0.007017079306235948,False,0.0,-0.007017079306235948,2.959251600206158
2024-03-04,150.0,0,141.33,1,-0.057799999999999914,2.801596620984091,1.1195700850873265,-0.057799999999999914,-0.03,False,0.0,-0.057799999999999914,2.7882068577142425
2024-03-05,141.33,0,144.24,1,0.020590108257270194,2.8592817987033556,1.0548589341692791,0.020590108257270194,0.020590108257270194,False,0.0,0.020590108257270194,2.8456163387582416
2024-03-06,144.24,0,144.3,1,0.0004159733777038427,2.8604711838109695,1.0765785938199732,0.0004159733777038427,0.0004159733777038427,False,0.0,0.0004159733777038427,2.846800039398324
2024-03-07,144.3,0,147.31,1,0.020859320859320796,2.920138670042924,1.0770264218540082,0.020859320859320796,0.020859320859320796,False,0.0,0.020859320859320796,2.906182354842461
2024-03-08,147.31,0,143.76,1,-0.024098839182676066,2.8497667178424457,1.0994924615614272,-0.024098839182676066,-0.024098839182676066,False,0.0,-0.024098839182676066,2.8361467336375816
2024-03-09,143.76,0,146.5,1,0.019059543683917705,2.904081971090138,1.0729959695476936,0.019059543683917705,0.019059543683917705,False,0.0,0.019059543683917705,2.8902023962013472
2024-03-10,146.5,0,145.24,1,-0.008600682593856592,2.8791048838302506,1.0934467831019556,-0.008600682593856592,-0.008600682593856592,False,0.0,-0.008600682593856592,2.865344682759616
2024-03-11,145.24,0,145.07,1,-0.001170476452767942,2.8757349593586783,1.0840423943872222,-0.001170476452767942,-0.001170476452767942,False,0.0,-0.001170476452767942,2.861990864279382
2024-03-12,145.07,0,149.88,1,0.03315640725167163,2.971083998819044,1.0827735482907896,0.03315640725167163,0.03315640725167163,False,0.0,0.03315640725167163,2.956884198925993
2024-03-13,149.88,0,146.75,1,-0.020883373365358924,2.9090377423718623,1.1186744290192567,-0.020883373365358924,-0.020883373365358924,False,0.0,-0.020883373365358924,2.895134482201691
2024-03-14,146.75,0,141.91,1,-0.03298126064735948,2.81309401035769,1.0953127332437678,-0.03298126064735948,-0.03,False,0.0,-0.03298126064735948,2.799649297235039
2024-03-15,141.91,0,139.34,1,-0.018110069762525497,2.7621486815815692,1.0591879384982834,-0.018110069762525497,-0.018110069762525497,False,0.0,-0.018110069762525497,2.748947453151507
2024-03-16,139.34,0,139.61,1,0.0019377063298407508,2.767500914565831,1.040005971040454,0.0019377063298407508,0.0019377063298407508,False,0.0,0.0019377063298407508,2.754274106031878
2024-03-17,139.61,0,140.99,1,0.009884678747940658,2.7948567720409465,1.042021197193611,0.009884678747940658,0.009884678747940658,False,0.0,0.009884678747940658,2.781499220753775
2024-03-18,140.99,0,133.96,1,-0.04986169231860416,2.655500483598874,1.0523212419764145,-0.04986169231860416,-0.03,False,0.0,-0.04986169231860416,2.642808962424113
2024-03-19,133.96,0,139.66,1,0.04255001492982971,2.7684920688221757,0.9998507239886552,0.04255001492982971,0.04255001492982971,False,0.0,0.04255001492982971,2.7552605232319465
2024-03-20,139.66,0,138.1,1,-0.01116998424745813,2.7375680560242195,1.0423943872219734,-0.01116998424745813,-0.01116998424745813,False,0.0,-0.01116998424745813,2.7244843065898023
2024-03-21,138.1,0,135.11,1,-0.02165097755249805,2.6782970314948034,1.0307508583370653,-0.02165097755249805,-0.02165097755249805,False,0.0,-0.02165097755249805,2.6654965580256933
2024-03-22,135.11,0,138.99,1,0.028717341425505107,2.7552106017871565,1.0084340946409913,0.028717341425505107,0.028717341425505107,False,0.0,0.028717341425505107,2.7420425327510256
2024-03-23,138.99,0,141.73,1,0.019713648463918126,2.809525855034849,1.0373936408419169,0.019713648463918126,0.019713648463918126,False,0.0,0.019713648463918126,2.796098195314791
2024-03-24,141.73,0,142.44,1,0.005009525153460862,2.8236002454749443,1.0578444543961785,0.005009525153460862,0.005009525153460862,False,0.0,0.005009525153460862,2.810105319555767
2024-03-25,142.44,0,134.92,1,-0.052794158944116897,2.6745306453206927,1.0631437527989254,-0.052794158944116897,-0.03,False,0.0,-0.052794158944116897,2.6617481726654315
2024-03-26,134.92,0,137.68,1,0.020456566854432402,2.7292423602709235,1.007015972533214,0.020456566854432402,0.020456566854432402,False,0.0,0.020456566854432402,2.716198402109225
2024-03-27,137.68,0,134.88,1,-0.02033701336432315,2.673737721915617,1.0276160620988208,-0.02033701336432315,-0.02033701336432315,False,0.0,-0.02033701336432315,2.6609590389053763
2024-03-28,134.88,0,132.55,1,-0.01727461447212325,2.6275499335699517,1.006717420510524,-0.01727461447212325,-0.01727461447212325,False,0.0,-0.01727461447212325,2.6149919973821745
2024-03-29,132.55,0,129.02,1,-0.026631459826480578,2.5575744430720118,0.9893267651888343,-0.026631459826480578,-0.026631459826480578,False,0.0,-0.026631459826480578,2.545350943057323
2024-03-30,129.02,0,128.37,1,-0.0050379786079678005,2.5446894377395295,0.9629795491864459,-0.0050379786079678005,-0.0050379786079678005,False,0.0,-0.0050379786079678005,2.5325275194564294
2024-03-31,128.37,0,123.26,1,-0.03980680844434057,2.443393472741095,0.9581280788177341,-0.03980680844434057,-0.03,False,0.0,-0.03980680844434057,2.4317156816094063
2024-04-01,123.26,0,122.29,1,-0.007869544053220824,2.424165080168007,0.9199880579190926,-0.007869544053220824,-0.007869544053220824,False,0.0,-0.007869544053220824,2.412579187928073
2024-04-02,122.29,0,128.68,1,0.05225284160601848,2.5508345941288666,0.9127481713688611,0.05225284160601848,0.05,False,0.0,0.05225284160601848,2.5386433060968554
2024-04-03,128.68,0,131.92,1,0.025178737954615952,2.615061389940007,0.9604418569935813,0.025178737954615952,0.025178737954615952,False,0.0,0.025178737954615952,2.6025631406613083
2024-04-04,131.92,0,126.81,1,-0.03873559733171608,2.513765424941573,0.9846245708314674,-0.03873559733171608,-0.03,False,0.0,-0.03873559733171608,2.5017513028142857
2024-04-05,126.81,0,131.91,1,0.04021764845043762,2.614863159088738,0.9464845499328259,0.04021764845043762,0.04021764845043762,False,0.0,0.04021764845043762,2.6023658572212947
2024-04-06,131.91,0,131.44,1,-0.0035630354029262293,2.6055463090790973,0.984549932825795,-0.0035630354029262293,-0.0035630354029262293,False,0.0,-0.0035630354029262293,2.593093535540649
2024-04-07,131.44,0,136.8,1,0.04077906269020096,2.7117980453592554,0.981041946559188,0.04077906269020096,0.04077906269020096,False,0.0,0.04077906269020096,2.698837459388016
2024-04-08,136.8,0,133.52,1,-0.02397660818713451,2.646778326143039,1.0210479175996419,-0.02397660818713451,-0.02397660818713451,False,0.0,-0.02397660818713451,2.6341284910635077
2024-04-09,133.52,0,133.32,1,-0.001497902935889882,2.6428137091176596,0.9965666517390657,-0.001497902935889882,-0.001497902935889882,False,0.0,-0.001497902935889882,2.630182822263232
2024-04-10,133.32,0,133.18,1,-0.0010501050105009477,2.6400384771998944,0.9950738916256158,-0.0010501050105009477,-0.0010501050105009477,False,0.0,-0.0010501050105009477,2.62742085410304
2024-04-11,133.18,0,122.82,1,-0.07778945787655814,2.4346713152852604,0.9940289595462011,-0.07778945787655814,-0.03,False,0.0,-0.07778945787655814,2.4230352102488015
2024-04-12,122.82,0,115.5,1,-0.05959941377625789,2.289566332156388,0.916703985669503,-0.05959941377625789,-0.03,False,0.0,-0.05959941377625789,2.2786237321587413
2024-04-13,115.5,0,121.52,1,0.05212121212121209,2.4089013046202963,0.8620689655172414,0.05212121212121209,0.05,False,0.0,0.05212121212121209,2.397388363047015
2024-04-14,121.52,0,123.42,1,0.01563528637261361,2.446565166361397,0.9070010449320794,0.01563528637261361,0.01563528637261361,False,0.0,0.01563528637261361,2.4348722166496266
2024-04-15,123.42,0,121.53,1,-0.015313563441905693,2.409099535471565,0.9211822660098523,-0.015313563441905693,-0.015313563441905693,False,0.0,-0.015313563441905693,2.397585646487029
2024-04-16,121.53,0,117.16,1,-0.03595819962149267,2.3224726534670332,0.907075682937752,-0.03595819962149267,-0.03,False,0.0,-0.03595819962149267,2.3113727832010227
2024-04-17,117.16,0,116.41,1,-0.006401502219187436,2.307605339621862,0.8744588744588745,-0.006401502219187436,-0.006401502219187436,False,0.0,-0.006401502219187436,2.296576525199992
2024-04-18,116.41,0,117.0,1,0.005068293101967215,2.3193009598467302,0.8688610240334379,0.005068293101967215,0.005068293101967215,False,0.0,0.005068293101967215,2.308216248160803
2024-04-19,117.0,0,122.2,1,0.04444444444444447,2.4223810025065853,0.8732646663681147,0.04444444444444447,0.04444444444444447,False,0.0,0.04444444444444447,2.41080363696795
2024-04-20,122.2,0,118.66,1,-0.028968903436988595,2.3522072811573764,0.9120764293178087,-0.028968903436988595,-0.028968903436988595,False,0.0,-0.028968903436988595,2.3409652992030847
2024-04-21,118.66,0,121.12,1,0.020731501769762413,2.4009720705695385,0.8856545753097478,0.020731501769762413,0.020731501769762413,False,0.0,0.020731501769762413,2.389497025446466
2024-04-22,121.12,0,121.53,1,0.0033850726552179375,2.4090995354715656,0.90401552470518,0.0033850726552179375,0.0033850726552179375,False,0.0,0.0033850726552179375,2.3975856464870295
2024-04-23,121.53,0,118.82,1,-0.02229902081790511,2.3553789747776794,0.907075682937752,-0.02229902081790511,-0.02229902081790511,False,0.0,-0.02229902081790511,2.3441218342433046
2024-04-24,118.82,0,119.99,1,0.009846827133479227,2.378571984376147,0.8868487834005075,0.009846827133479227,0.009846827133479227,False,0.0,0.009846827133479227,2.3672039967249128
2024-04-25,119.99,0,120.23,1,0.002000166680556789,2.3833295248066015,0.8955814300641887,0.002000166680556789,0.002000166680556789,False,0.0,0.002000166680556789,2.3719387992852425
2024-04-26,120.23,0,122.74,1,0.020876653081593536,2.433085468475108,0.8973727422003285,0.020876653081593536,0.020876653081593536,False,0.0,0.020876653081593536,2.421456942728692
2024-04-27,122.74,0,126.57,1,0.031204171419260213,2.5090078845111163,0.916106881624123,0.031204171419260213,0.031204171419260213,False,0.0,0.031204171419260213,2.4970165002539555
2024-04-28,126.57,0,128.92,1,0.018566800979694986,2.5555921345593196,0.9446932377966861,0.018566800979694986,0.018566800979694986,False,0.0,0.018566800979694986,2.5433781086571847
2024-04-29,128.92,0,119.42,1,-0.0736891095252869,2.367272825853816,0.9622331691297208,-0.0736891095252869,-0.03,False,0.0,-0.0736891095252869,2.3559588406441283
2024-04-30,119.42,0,123.51,1,0.03424886953609114,2.448349244022817,0.8913270637408569,0.03424886953609114,0.03424886953609114,False,0.0,0.03424886953609114,2.4366477676097498
2024-05-01,123.51,0,123.24,1,-0.0021860578090843676,2.442997011038555,0.9218540080609047,-0.0021860578090843676,-0.0021860578090843676,False,0.0,-0.0021860578090843676,2.4313211147293785
2024-05-02,123.24,0,125.19,1,0.015822784810126608,2.481652027036001,0.9198387819077475,0.015822784810126608,0.015822784810126608,False,0.0,0.015822784810126608,2.4697913855320586
2024-05-03,125.19,0,123.2,1,-0.015895838325744826,2.44220408763348,0.9343931930138827,-0.015895838325744826,-0.015895838325744826,False,0.0,-0.015895838325744826,2.4305319809693238
2024-05-04,123.2,0,134.42,1,0.09107142857142844,2.664619102757243,0.9195402298850576,0.09107142857142844,0.05,False,0.0,0.09107142857142844,2.651884000664744
2024-05-05,134.42,0,130.55,1,-0.028790358577592445,2.587903763316159,1.0032840722495895,-0.028790358577592445,-0.028790358577592445,False,0.0,-0.028790358577592445,2.5755353093794255
2024-05-06,130.55,0,127.34,1,-0.02458828035235548,2.5242716600588255,0.9743991640543366,-0.02458828035235548,-0.02458828035235548,False,0.0,-0.02458828035235548,2.5122073251350137
2024-05-07,127.34,0,131.75,1,0.034631694675671405,2.611691465468433,0.9504403642334678,0.034631694675671405,0.034631694675671405,False,0.0,0.034631694675671405,2.599209322181075
2024-05-08,131.75,0,132.47,1,0.005464895635673615,2.6259640867597973,0.9833557247350352,0.005464895635673615,0.005464895635673615,False,0.0,0.005464895635673615,2.613413729862064
2024-05-09,132.47,0,132.64,1,0.001283309428549766,2.6293340112313692,0.9887296611434543,0.001283309428549766,0.001283309428549766,False,0.0,0.001283309428549766,2.6167675483422976
2024-05-10,132.64,0,131.67,1,-0.007313027744270197,2.610105618658281,0.9899985072398865,-0.007313027744270197,-0.007313027744270197,False,0.0,-0.007313027744270197,2.5976310546609644
2024-05-11,131.67,0,133.15,1,0.011240221766537696,2.6394437846460863,0.9827586206896551,0.011240221766537696,0.011240221766537696,False,0.0,0.011240221766537696,2.626829003782999
2024-05-12,133.15,0,135.43,1,0.017123544874202035,2.684640418735407,0.9938050455291836,0.017123544874202035,0.017123544874202035,False,0.0,0.017123544874202035,2.6718096281061325
2024-05-13,135.43,0,131.9,1,-0.02606512589529647,2.6146649282374677,1.0108225108225108,-0.02606512589529647,-0.02606512589529647,False,0.0,-0.02606512589529647,2.602168573781281
2024-05-14,131.9,0,134.73,1,0.021455648218347112,2.6707642591465803,0.9844752948201225,0.021455648218347112,0.021455648218347112,False,0.0,0.021455648218347112,2.6579997873051697
2024-05-15,134.73,0,134.11,1,-0.004601796184962341,2.6584739463679057,1.0055978504254366,-0.004601796184962341,-0.004601796184962341,False,0.0,-0.004601796184962341,2.645768214024318
2024-05-16,134.11,0,135.0,1,0.006636343300275791,2.6761164921308422,1.0009702940737426,0.006636343300275791,0.006636343300275791,False,0.0,0.006636343300275791,2.6633264401855414
2024-05-17,135.0,0,136.25,1,0.009259259259259259,2.7008953485394613,1.007613076578594,0.009259259259259259,0.009259259259259259,False,0.0,0.009259259259259259,2.6879868701872596
2024-05-18,136.25,0,134.55,1,-0.012477064220183402,2.66719610382374,1.016942827287655,-0.012477064220183402,-0.012477064220183402,False,0.0,-0.012477064220183402,2.6544486853849234
2024-05-19,134.55,0,135.15,1,0.0044593088071348515,2.679089954899877,1.004254366323332,0.0044593088071348515,0.0044593088071348515,False,0.0,0.0044593088071348515,2.6662856917857476
2024-05-20,135.15,0,136.19,1,0.007695153533111299,2.699705963431848,1.0087326466636812,0.007695153533111299,0.007695153533111299,False,0.0,0.007695153533111299,2.686803169547177
2024-05-21,136.19,0,138.36,1,0.015933622145532095,2.7427220581572107,1.01649499925362,0.015933622145532095,0.015933622145532095,False,0.0,0.015933622145532095,2.72961367603016
2024-05-22,138.36,0,138.66,1,0.0021682567215957137,2.748668983695279,1.03269144648455,0.0021682567215957137,0.0021682567215957137,False,0.0,0.0021682567215957137,2.735532179230572
2024-05-23,138.66,0,141.11,1,0.0176691187076303,2.7972355422561725,1.0349305866547247,0.0176691187076303,0.0176691187076303,False,0.0,0.0176691187076303,2.7838666220339396
2024-05-24,141.11,0,141.3,1,0.0013464672950180548,2.8010019284302827,1.0532168980444845,0.0013464672950180548,0.0013464672950180548,False,0.0,0.0013464672950180548,2.787615007394201
2024-05-25,141.3,0,142.28,1,0.006935598018400493,2.82042855185464,1.0546350201522616,0.006935598018400493,0.006935598018400493,False,0.0,0.006935598018400493,2.806948784515548
2024-05-26,142.28,0,141.26,1,-0.00716896260894019,2.8002090050252066,1.0619495447081655,-0.00716896260894019,-0.00716896260894019,False,0.0,-0.00716896260894019,2.786825873634146
2024-05-27,141.26,0,141.2,1,-0.00042474869035822086,2.7990196199175927,1.0543364681295715,-0.00042474869035822086,-0.00042474869035822086,False,0.0,-0.00042474869035822086,2.7856421729940632
2024-05-28,141.2,0,139.63,1,-0.011118980169971624,2.7678973762683676,1.0538886400955367,-0.011118980169971624,-0.011118980169971624,False,0.0,-0.011118980169971624,2.754668672911906
2024-05-29,139.63,0,146.12,1,0.046479982811716745,2.8965491987419174,1.042170473204956,0.046479982811716745,0.046479982811716745,False,0.0,0.046479982811716745,2.882705625480826
2024-05-30,146.12,0,147.83,1,0.011702710101286668,2.9304466743089086,1.0906105388864011,0.011702710101286668,0.011702710101286668,False,0.0,0.011702710101286668,2.9164410937231766
2024-05-31,147.83,-1,148.89,0,-0.0071703984306296,2.9094342040744,1.1033736378563967,0.0071703984306296,0.0071703984306296,True,0.001,-0.0081703984306296,2.892612607987997
2024-06-01,148.89,-1,152.63,0,-0.02511921552824239,2.836351499237015,1.1112852664576802,0.02511921552824239,0.02511921552824239,False,0.0,-0.02511921552824239,2.8199524484482352
2024-06-02,152.63,-1,155.18,0,-0.016707069383476457,2.788964377943335,1.139199880579191,0.016707069383476457,0.016707069383476457,False,0.0,-0.016707069383476457,2.772839307233906
2024-06-03,155.18,-1,159.95,0,-0.03073849722902424,2.7032358041400766,1.1582325720256756,0.03073849722902424,0.03073849722902424,False,0.0,-0.03073849722902424,2.687606393871967
2024-06-04,159.95,-1,163.41,0,-0.021631759924976606,2.6447600562043174,1.1938349007314524,0.021631759924976606,0.021631759924976606,False,0.0,-0.021631759924976606,2.6294687375868966
2024-06-05,163.41,-1,164.78,0,-0.008383819839667123,2.6225868643739525,1.2196596506941335,0.008383819839667123,0.008383819839667123,False,0.0,-0.008383819839667123,2.607423745416931
