time,open,high,low,close,vwap,volume,sma_20,ema_20,rsi_14,bb_bbm,bb_bbh,bb_bbl,bb_width,log_return,volatility_14,entropy_14
2023-08-30,146.83,148.11,140.91,142.08,144.2,7701.79824403,147.8405,147.55028686605922,37.87684127058308,147.8405,160.53408337901433,135.14691662098565,25.387166758028684,-0.03295327938477351,0.02952058888432721,1.67311836344705
2023-08-31,142.08,144.85,139.75,142.93,143.69,8673.3373264,147.15,147.11025954548217,39.597497730241436,147.15,159.32383587863697,134.97616412136304,24.34767175727393,0.0059647206771638915,0.01949935521963014,1.6731183631953477
2023-09-01,143.15,144.88,139.02,140.85,142.24,3798.82836667,146.29649999999998,146.51404435067434,36.90384647734509,146.29649999999998,157.69947553272777,134.8935244672722,22.805951065455588,-0.014659505598642325,0.019516416877454958,1.8337855472342697
2023-09-02,140.89,141.68,139.13,140.19,140.34,1871.86188792,145.39600000000002,145.91175441251488,36.06548618695365,145.39600000000002,155.6869404818019,135.10505951819812,20.581880963603794,-0.004696848941937092,0.01945969221809759,1.9328065728961645
2023-09-03,140.16,141.45,139.21,140.79,140.48,953.53202368,144.523,145.42396827798967,37.456505643741956,144.523,153.12840086224858,135.9175991377514,17.210801724497173,0.0042707730939915076,0.018435465247182956,1.9701814402980087
2023-09-04,140.86,143.7,140.77,141.34,142.07,3003.20753765,143.8255,145.03501891818115,38.771570228357824,143.8255,150.96325447882515,136.68774552117486,14.275508957650288,0.00389891678827231,0.01780008910200074,1.970181440298009
2023-09-05,141.2,141.39,137.52,137.77,139.54,3623.0473051,143.0135,144.34311235454487,33.80320983041983,143.0135,148.921052031086,137.105947968914,11.815104062171997,-0.025582707206200532,0.01757530088506199,2.106577333371199
2023-09-06,137.69,142.57,137.54,141.99,140.22,7069.43028125,143.0255,144.1190064160168,43.08727168302374,143.0255,148.92370472686292,137.12729527313707,11.796409453725857,0.030171004529758565,0.01925629186698629,2.1065773333981084
2023-09-07,142.07,144.04,141.05,143.99,142.98,8900.31890229,143.041,144.10672009068188,46.889054919741326,143.041,148.94762644831957,137.13437355168043,11.813252896639142,0.013987220133912766,0.017420554375500052,2.0692024659905304
2023-09-08,143.99,146.62,140.73,144.03,144.13,7195.3737052,143.027,144.09941341537882,46.965359788864355,143.027,148.92284633449586,137.13115366550412,11.791692668991743,0.0002777584907795657,0.017244847321024125,2.0449311750220347
2023-09-09,143.92,144.05,142.15,143.46,143.14,6623.00804835,142.83249999999998,144.03851689962846,45.952208825249954,142.83249999999998,148.3921326317472,137.27286736825278,11.119265263494412,-0.003965360512670257,0.016526755618769942,1.9459101493820739
2023-09-10,143.45,143.67,141.5,142.83,142.15,3697.99068681,142.4935,143.9234200520448,44.80182545495421,142.4935,147.10467457921388,137.88232542078615,9.222349158427733,-0.004401138823751228,0.015859534327390186,1.9085352819744956
2023-09-11,142.86,143.55,138.0,139.76,141.16,4039.39402691,142.2065,143.52690385661197,39.59938462343024,142.2065,146.7474306314882,137.6655693685118,9.081861262976417,-0.02172844604873608,0.01676479837390626,1.9701814403505693
