time,open,high,low,close,vwap,volume
2024-01-05,164.72,164.87,153.46,155.78,159.32,11676.15833218
2024-01-06,155.46,158.94,150.12,152.69,154.09,4829.37261229
2024-01-07,152.62,155.31,144.92,146.33,150.12,9869.35076198
2024-01-08,146.4,154.17,143.54,147.95,149.12,11404.92129218
2024-01-09,147.7,148.67,142.7,144.14,145.95,9227.43159145
2024-01-10,144.13,152.37,143.71,148.93,148.90,13447.44762815
2024-01-11,149.21,154.7,148.22,152.87,151.73,7473.73018148
2024-01-12,152.89,162.0,149.0,151.86,155.56,11082.27153931
2024-01-13,152.13,156.46,148.37,155.63,153.24,3752.56668025
2024-01-14,155.56,159.85,153.16,154.09,157.30,3152.52818656
2024-01-15,154.24,159.15,153.26,157.37,156.33,4825.28784511
2024-01-16,157.63,162.4,153.95,157.5,157.95,7455.3205789
2024-01-17,157.46,160.57,154.94,157.8,157.95,4104.69723747
2024-01-18,157.79,163.9,151.86,153.11,157.76,4992.37301099
2024-01-19,153.13,158.69,150.0,158.23,153.15,3896.03279118
2024-01-20,158.24,159.52,155.81,156.75,157.62,2577.36750734
2024-01-21,156.43,163.14,155.09,157.48,158.53,2202.60408358
2024-01-22,157.69,160.11,149.52,150.88,153.65,6332.27424014
2024-01-23,150.86,154.79,146.2,150.34,150.44,5328.38324588
2024-01-24,150.18,155.5,148.76,152.71,152.31,4738.72883751
2024-01-25,152.5,157.7,152.01,157.37,155.80,4600.78050086
2024-01-26,157.25,162.18,156.07,159.15,158.96,5447.1225518
2024-01-27,159.53,162.0,157.62,160.61,159.69,1951.31379514
2024-01-28,160.52,162.36,158.91,160.89,160.43,1829.54185492
2024-01-29,160.79,169.8,159.98,168.02,164.60,6521.44357046
2024-01-30,168.18,172.0,159.59,160.19,165.98,5842.49253108
2024-01-31,160.25,166.66,158.52,163.39,162.87,4823.70742557
2024-02-01,163.77,169.29,163.46,166.5,167.23,5476.08788087
2024-02-02,166.4,171.0,165.4,168.74,168.43,3281.12249147
2024-02-03,168.8,169.93,161.46,165.36,163.81,11412.37908111
2024-02-04,165.4,167.61,163.8,165.82,165.70,2358.37694463
2024-02-05,165.86,168.08,163.49,165.32,165.43,2391.97680237
2024-02-06,165.31,166.5,99.34,105.15,116.35,89827.13268558
2024-02-07,105.17,134.49,103.71,131.25,124.54,60403.07349296
2024-02-08,130.82,134.85,117.83,128.82,125.19,24370.67300209
2024-02-09,128.1,129.17,120.1,121.88,123.94,17494.76754924
2024-02-10,121.72,123.57,115.47,119.31,119.71,15303.93962892
2024-02-11,119.18,123.14,117.22,120.69,120.41,9555.40253338
2024-02-12,120.65,128.56,118.22,126.49,122.64,15468.72358371
2024-02-13,126.48,128.86,122.42,127.82,125.95,16698.05988836
2024-02-14,127.75,131.78,126.56,128.24,128.71,13068.38086346
2024-02-15,128.29,129.2,124.81,125.83,126.99,9536.74811763
2024-02-16,126.02,129.0,120.28,122.7,124.69,9968.63514898
2024-02-17,122.8,122.81,117.83,121.21,120.01,8307.09454908
2024-02-18,121.24,123.5,118.73,122.26,121.03,9362.88692406
2024-02-19,122.33,123.24,109.18,113.06,115.37,27817.56613672
2024-02-20,112.91,125.89,112.26,123.66,120.39,17739.83119097
2024-02-21,124.0,125.67,116.07,123.0,120.00,10238.61688974
2024-02-22,123.0,124.84,121.08,123.96,123.26,6615.56549254
2024-02-23,123.9,124.5,112.1,123.76,122.48,10405.00046159
2024-02-24,123.51,125.34,122.07,123.9,124.02,5800.41156856
2024-02-25,123.92,128.88,122.96,128.79,125.43,10702.41397695
2024-02-26,128.72,134.43,127.87,133.02,130.84,14430.04804908
2024-02-27,132.96,144.7,132.96,137.01,136.84,22276.3600702
2024-02-28,137.01,141.72,133.97,134.47,138.08,13276.82590853
2024-02-29,134.72,141.15,133.7,138.06,138.08,9689.62764285
2024-03-01,138.19,146.14,137.23,144.24,141.59,11555.03171971
2024-03-02,144.36,146.67,140.5,146.51,142.94,8794.86283694
2024-03-03,146.36,153.21,144.09,151.06,148.59,10401.5504911
2024-03-04,150.83,151.0,143.35,150.0,147.84,13214.01485755
2024-03-05,150.0,151.0,134.05,141.33,145.57,23272.30519275
2024-03-06,141.57,151.35,138.64,144.24,144.82,16738.74046344
2024-03-07,144.26,149.0,137.94,144.3,143.80,14858.24390167
2024-03-08,144.3,151.0,142.99,147.31,148.08,11963.76568889
2024-03-09,147.45,149.71,143.0,143.76,146.13,6834.05870853
2024-03-10,143.76,148.43,139.0,146.5,145.14,9689.0273631
2024-03-11,146.49,147.1,142.16,145.24,144.37,22160.71651679
2024-03-12,145.24,147.29,143.0,145.07,144.78,15052.57287289
2024-03-13,145.14,150.31,139.84,149.88,146.14,20885.24580528
2024-03-14,150.07,152.0,140.7,146.75,148.01,17744.6589669
2024-03-15,146.78,147.64,138.58,141.91,142.44,10524.60662455
2024-03-16,142.21,148.63,135.22,139.34,142.76,9497.16023166
2024-03-17,139.25,145.47,136.65,139.61,142.50,8443.14415985
2024-03-18,140.04,141.6,136.11,140.99,139.18,6670.4628
2024-03-19,140.72,141.2,128.66,133.96,135.41,12290.4858663
2024-03-20,133.68,142.67,129.12,139.66,138.15,10441.19774469
2024-03-21,139.66,144.34,137.72,138.1,141.15,8333.27411946
2024-03-22,138.26,140.8,131.25,135.11,135.85,5791.61116086
2024-03-23,134.97,140.39,133.6,138.99,137.74,7832.44903042
2024-03-24,138.89,144.0,137.0,141.73,141.23,11729.79681155
2024-03-25,141.72,143.39,139.73,142.44,141.57,9275.74111872
2024-03-26,142.46,143.65,133.15,134.92,138.29,17348.40750286
2024-03-27,134.94,141.04,134.19,137.68,137.38,12959.57726869
2024-03-28,137.75,139.91,133.97,134.88,136.33,13526.82184017
2024-03-29,134.86,137.15,129.47,132.55,132.81,15682.78514022
2024-03-30,132.54,133.73,125.0,129.02,128.95,18083.04465513
2024-03-31,129.08,130.61,126.26,128.37,128.44,13442.60487529
2024-04-01,128.27,129.53,120.0,123.26,123.94,13844.38454328
2024-04-02,123.21,124.95,116.44,122.29,120.69,13890.03765114
2024-04-03,122.17,129.8,120.15,128.68,124.82,13611.66397692
2024-04-04,128.41,132.09,126.37,131.92,129.54,12549.42705608
2024-04-05,131.91,132.27,125.11,126.81,128.68,7588.86891066
2024-04-06,126.88,132.68,126.67,131.91,130.89,6238.54440697
2024-04-07,131.92,139.24,128.63,131.44,132.42,12931.79686418
2024-04-08,131.45,137.17,129.88,136.8,133.35,12672.28119801
2024-04-09,136.82,139.92,130.08,133.52,134.93,13298.49816805
2024-04-10,133.54,136.57,130.1,133.32,133.54,7680.50369245
2024-04-11,133.45,135.97,132.0,133.18,133.40,8099.37375453
2024-04-12,133.22,135.26,117.27,122.82,127.79,27810.32321842
2024-04-13,122.58,129.19,105.55,115.5,116.23,16953.43775005
2024-04-14,115.5,123.03,112.94,121.52,118.97,8384.19136757
2024-04-15,121.35,127.24,117.56,123.42,122.40,10856.12442918
2024-04-16,123.17,123.99,114.22,121.53,119.66,12208.34500941
2024-04-17,121.25,125.28,116.12,117.16,121.20,11316.6092196
2024-04-18,117.2,119.21,112.81,116.41,116.26,7685.4926785
2024-04-19,116.32,121.68,110.53,117.0,116.89,12336.0295791
2024-04-20,117.03,122.2,116.47,122.2,118.51,6565.54680011
2024-04-21,122.0,125.19,115.91,118.66,120.56,5936.85922594
2024-04-22,118.99,124.18,118.84,121.12,121.31,8079.20781416
2024-04-23,121.3,124.11,120.0,121.53,122.25,6450.17740493
2024-04-24,121.55,122.42,118.01,118.82,120.58,7267.21110697
2024-04-25,118.87,121.64,116.82,119.99,119.50,5585.00308752
2024-04-26,119.99,122.54,119.11,120.23,120.80,5816.57517078
2024-04-27,120.23,123.27,118.04,122.74,120.19,4679.61178273
2024-04-28,122.75,129.88,121.21,126.57,125.46,9959.5490671
2024-04-29,126.49,129.64,122.16,128.92,124.99,10866.17581322
2024-04-30,128.92,131.4,116.75,119.42,122.94,11119.90611033
2024-05-01,119.45,123.61,115.29,123.51,119.84,11751.91903359
2024-05-02,123.63,125.85,119.12,123.24,122.89,9452.55287247
2024-05-03,123.26,126.57,121.7,125.19,123.77,6412.74807097
2024-05-04,125.2,129.44,122.4,123.2,125.54,15130.27071619
2024-05-05,123.42,134.54,122.71,134.42,127.89,9502.38762963
2024-05-06,134.53,134.69,128.68,130.55,132.05,8136.22390106
2024-05-07,130.58,133.39,125.52,127.34,129.01,11359.99549113
2024-05-08,127.34,131.82,126.75,131.75,128.71,7707.69834182
2024-05-09,131.71,134.83,128.63,132.47,132.50,7695.96751415
2024-05-10,132.49,134.32,130.52,132.64,132.37,14388.0322457
2024-05-11,132.62,133.56,129.15,131.67,131.15,5691.65749386
2024-05-12,131.62,134.75,131.61,133.15,133.56,2302.76336064
2024-05-13,133.15,137.03,130.8,135.43,134.52,6145.53959461
2024-05-14,135.43,137.25,131.48,131.9,134.39,6596.77382043
2024-05-15,131.91,136.6,130.52,134.73,133.73,8382.42654686
2024-05-16,134.73,135.35,130.01,134.11,133.42,6026.95907253
2024-05-17,134.1,135.64,132.25,135.0,134.47,7691.28673846
2024-05-18,134.91,137.77,134.32,136.25,135.80,4084.88015121
2024-05-19,136.25,136.36,134.02,134.55,135.29,3528.34701388
2024-05-20,134.58,136.99,134.01,135.15,135.61,7179.0817393
2024-05-21,135.1,142.18,134.32,136.19,138.10,15198.71951881
2024-05-22,136.22,139.56,135.39,138.36,137.75,10584.63739151
2024-05-23,138.42,141.3,137.0,138.66,139.24,9388.85657324
